"var1","var2","spearman_corr","p_value"
"factor_eth","hormone3",-0.0465101855278769,0.114
"lipids4","lipid_pero2",0.0462482294033079,0.114
"сarb_metabolism","lipid_pero3",0.0459137189114778,0.116
"lipids5","antioxidant3",0.0457659301476579,0.146
"hormone10_generated","antioxidant2",-0.0457585199692324,0.13
"lipid_pero2","antioxidant1",0.0456885566763361,0.132
"hormone1","lipid_pero5",-0.0456204794506174,0.124
"hormone10_generated","antioxidant1",0.0455280448464896,0.126
"lipids4","antioxidant2",0.0449347527728856,0.124
"hormone7","antioxidant2",-0.0446939607287604,0.108
"hormone2","lipid_pero5",-0.0440360452081362,0.168
"hormone4","lipid_pero4",0.0434221272271994,0.168
"hormone4","hormone6",-0.0433419025073822,0.158
"lipids4","lipid_pero5",0.0432978848919702,0.142
"hormone6","lipid_pero4",-0.0432575564919435,0.156
"antioxidant1","antioxidant2",-0.0427964232544265,0.116
"factor_eth","hormone7",-0.0420982470605357,0.142
"lipid_pero2","antioxidant4",0.0420567534124587,0.172
"lipids2","lipid_pero5",0.0410669100233262,0.188
"lipids2","lipid_pero1",0.041045369451689,0.16
"hormone7","lipid_pero4",-0.0409888291119463,0.148
"factor_pcos","сarb_metabolism",0.0403129570014381,0.566
"hormone1","antioxidant4",0.0398762354405918,0.2
"hormone8","hormone10_generated",-0.0394670113650437,0.172
"factor_prl","hormone1",0.0394435668594007,0.2
"lipids1","antioxidant4",0.0390541701785284,0.226
"hormone6","lipids2",-0.0390448690320681,0.192
"hormone2","lipid_pero3",0.0389625674421417,0.168
"hormone10_generated","antioxidant4",-0.0387215723752727,0.182
"hormone6","lipid_pero1",-0.0383563086682096,0.146
"hormone4","lipid_pero5",0.0379227518823681,0.202
"lipids2","antioxidant4",0.0373178464033355,0.216
"hormone6","hormone10_generated",0.0371749962541348,0.23
"lipid_pero3","antioxidant3",0.0367556363843862,0.236
"hormone3","antioxidant5",0.0366799078541229,0.208
"factor_h","lipids4",-0.0364020756490264,0.186
"factor_h","сarb_metabolism",-0.0360273656130789,0.248
"lipid_pero4","antioxidant1",-0.0353138073336882,0.212
"hormone1","antioxidant5",0.0351473516211811,0.224
"factor_prl","antioxidant5",0.0351167647890165,0.242
"hormone7","antioxidant4",-0.033250236531782,0.256
"hormone1","lipid_pero2",-0.0330959031723829,0.228
"factor_eth","antioxidant5",0.0328716936936269,0.248
"hormone2","antioxidant4",0.0325096924665849,0.306
"hormone3","lipids5",-0.0324851376577775,0.344
"hormone1","antioxidant2",0.0318523247285502,0.256
"lipid_pero2","antioxidant3",0.0316585604759214,0.236
"hormone4","hormone8",-0.0315833960928078,0.23
"hormone6","lipid_pero2",-0.0313599388841444,0.314
"hormone2","antioxidant3",0.0312764340402218,0.26
"factor_eth","lipid_pero2",-0.0311091343232889,0.32
"factor_h","lipid_pero5",0.0309993891524892,0.26
"factor_eth","antioxidant4",0.0309234547725955,0.32
"hormone5","lipid_pero2",0.0306310329903561,0.296
"lipids1","lipid_pero1",0.0303691489114281,0.342
"hormone10_generated","lipids4",0.030163982793572,0.296
"hormone3","hormone8",0.0301117984115496,0.286
"hormone7","lipids2",-0.0298601307243828,0.316
"factor_eth","lipid_pero3",0.029739970826855,0.318
"lipids3","lipid_pero5",-0.0297265171302209,0.29
"hormone10_generated","lipids2",0.0297099517052893,0.298
"hormone5","lipid_pero1",-0.0292390520626454,0.33
"factor_h","antioxidant5",-0.0283115361272846,0.382
"factor_h","lipid_pero2",-0.0283028749761472,0.336
"factor_prl","lipids1",-0.0282265781533412,0.34
"lipids2","antioxidant3",0.0282111389794505,0.306
"factor_h","hormone7",0.0280378595203179,0.35
"hormone8","lipids1",0.0279095800653329,0.342
"hormone4","lipids5",-0.0276956567995948,0.418
"hormone5","lipids1",0.027596336144826,0.376
"lipids4","antioxidant4",0.0273872138388859,0.36
"lipids1","antioxidant3",0.0272774578839511,0.354
"factor_h","hormone4",0.0272413534704074,0.376
"lipid_pero4","antioxidant2",0.0271804550056237,0.372
"hormone8","lipid_pero3",-0.0268696375329781,0.37
"factor_h","antioxidant2",0.0268345393022781,0.346
"hormone7","lipids3",0.0266913333718562,0.36
"factor_pcos","antioxidant5",-0.0266745747923402,0.73
"hormone4","antioxidant3",0.0265912891707602,0.374
"hormone5","lipids2",0.0265812495681,0.348
"factor_h","lipid_pero3",-0.026253165736336,0.394
"hormone10_generated","antioxidant5",-0.0262327938116909,0.378
"lipids5","lipid_pero2",0.0260181557051629,0.44
"hormone6","lipids1",-0.0258888447696762,0.398
"factor_prl","antioxidant2",-0.0256586966522251,0.396
"hormone1","hormone8",-0.0254717167266539,0.372
"сarb_metabolism","antioxidant1",-0.0254547283662317,0.416
"lipid_pero3","antioxidant4",0.0254336875834241,0.406
"hormone5","lipid_pero5",0.0243946070511228,0.412
"factor_pcos","hormone7",0.0243254321665681,0.784
"hormone3","lipids1",-0.0243007941080762,0.388
"factor_pcos","lipid_pero1",-0.0242803338846864,0.752
"factor_h","lipids3",0.0240497390513608,0.418
"factor_prl","antioxidant3",0.023296590062,0.452
"factor_prl","lipid_pero5",0.0231875445473096,0.432
"hormone7","сarb_metabolism",-0.0228285512777279,0.41
"lipid_pero4","antioxidant4",0.0228151973933463,0.44
"lipid_pero4","antioxidant3",0.022782600928416,0.406
"hormone5","lipids5",0.0226967163161608,0.494
"hormone3","lipid_pero1",-0.0225539221956258,0.466
"lipid_pero3","antioxidant1",0.0222111541948555,0.448
"hormone10_generated","lipids1",-0.0221806884258581,0.446
"factor_h","lipids1",-0.0221784850205302,0.424
"factor_pcos","lipid_pero4",-0.021760875667935,0.78
"hormone7","lipids1",-0.0216888883104805,0.456
"lipids2","antioxidant2",0.0216395943255752,0.478
"factor_prl","antioxidant1",0.0216318497815973,0.452
"hormone8","lipids4",-0.0215990556351699,0.454
"factor_eth","hormone4",-0.0214916004323426,0.46
"lipid_pero5","antioxidant2",0.0212792707784474,0.468
"factor_prl","hormone4",0.020551804310944,0.472
"hormone4","antioxidant1",-0.0204649214001909,0.502
"lipids5","antioxidant5",0.0196805749111382,0.544
"hormone2","antioxidant1",0.0196183708264836,0.542
"hormone2","lipids2",-0.0193529065214564,0.526
"lipids5","antioxidant1",0.0192878475282767,0.57
"hormone10_generated","lipids3",0.0191171553487813,0.542
"factor_prl","hormone6",0.0190397789711427,0.566
"hormone4","antioxidant2",0.0189338226390761,0.514
"lipid_pero1","antioxidant2",0.0187973414092151,0.53
"hormone8","antioxidant3",0.0187961350089333,0.52
"hormone6","сarb_metabolism",0.0187595139760712,0.53
"factor_h","lipid_pero1",-0.0186116707753645,0.568
"factor_pcos","lipids4",-0.018171481882514,0.832
"hormone1","hormone4",0.0176856836461271,0.55
"lipids4","antioxidant3",0.017534995095037,0.558
"factor_prl","hormone5",0.0174756215809112,0.53
"hormone5","hormone10_generated",0.0173608828200798,0.532
"hormone3","lipid_pero3",0.0171042138860251,0.572
"hormone3","antioxidant4",-0.0167238958479776,0.572
"lipid_pero5","antioxidant1",-0.0164155849889411,0.588
"hormone7","lipids4",-0.0162974083174077,0.592
"hormone4","lipids1",-0.0161581631263253,0.602
"hormone3","lipid_pero2",0.0159598796402431,0.6
